Correlation id,Operation name,Status,Event category,Level,Time,Subscription,Event initiated by,Resource type,Resource group,Resource
959a5468-49be-4bd9-ae6d-7d2e52eb10e9,Update database account,Accepted,Administrative,Informational,2020-05-08T11:34:25.584Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.DocumentDb/databaseAccounts,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.DocumentDb/databaseAccounts/demoaccount2020
959a5468-49be-4bd9-ae6d-7d2e52eb10e9,Create Deployment,Started,Administrative,Informational,2020-05-08T11:34:21.425Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Resources/deployments,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20200508153350
959a5468-49be-4bd9-ae6d-7d2e52eb10e9,Create Deployment,Accepted,Administrative,Informational,2020-05-08T11:34:22.865Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Resources/deployments,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20200508153350
959a5468-49be-4bd9-ae6d-7d2e52eb10e9,Update database account,Started,Administrative,Informational,2020-05-08T11:34:23.172Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.DocumentDb/databaseAccounts,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.DocumentDb/databaseAccounts/demoaccount2020
d2db547b-a343-4a58-a45b-fbf9bdad53c7,Validate Deployment,Succeeded,Administrative,Informational,2020-05-08T11:34:21.179Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Resources/deployments,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20200508153350
d2db547b-a343-4a58-a45b-fbf9bdad53c7,Validate Deployment,Started,Administrative,Informational,2020-05-08T11:34:20.574Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Resources/deployments,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20200508153350
77a53181-ba5f-410b-9e03-985508701a38,Validate Deployment,Succeeded,Administrative,Informational,2020-05-08T11:34:09.617Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Resources/deployments,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20200508153350
77a53181-ba5f-410b-9e03-985508701a38,Validate Deployment,Started,Administrative,Informational,2020-05-08T11:34:08.787Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Resources/deployments,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Resources/deployments/Microsoft.Azure.CosmosDB-20200508153350
a5662d1d-4cd0-46d4-a062-8a163e602c0a,Register Microsoft DocumentDB resource provider,Succeeded,Administrative,Informational,2020-05-08T11:33:51.139Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,,,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/providers/Microsoft.DocumentDb
a5662d1d-4cd0-46d4-a062-8a163e602c0a,Register Microsoft DocumentDB resource provider,Started,Administrative,Informational,2020-05-08T11:33:50.244Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,,,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/providers/Microsoft.DocumentDb
f7b0b98f-9f87-4d9a-afd0-20a841901b12,Delete Network Security Group,Succeeded,Administrative,Informational,2020-05-08T08:08:38.159Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
f7b0b98f-9f87-4d9a-afd0-20a841901b12,Delete Network Security Group,Started,Administrative,Informational,2020-05-08T07:58:33.339Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
f7b0b98f-9f87-4d9a-afd0-20a841901b12,Delete Network Security Group,Accepted,Administrative,Informational,2020-05-08T07:58:33.669Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
f7b0b98f-9f87-4d9a-afd0-20a841901b12,Delete Network Security Group,Succeeded,Administrative,Informational,2020-05-08T07:58:35.623Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
f7b0b98f-9f87-4d9a-afd0-20a841901b12,Delete Network Security Group,Succeeded,Administrative,Informational,2020-05-08T08:08:34.942Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Public Ip Address,Succeeded,Administrative,Informational,2020-05-08T08:08:24.186Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/publicIPAddresses,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/publicIPAddresses/myPublicIP
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Network Security Group,Started,Administrative,Informational,2020-05-08T07:58:17.623Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Virtual Network,Started,Administrative,Informational,2020-05-08T07:58:17.625Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/virtualNetworks,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/virtualNetworks/MyVNET
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Public Ip Address,Started,Administrative,Informational,2020-05-08T07:58:17.629Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/publicIPAddresses,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/publicIPAddresses/myPublicIP
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Network Security Group,Failed,Administrative,Error,2020-05-08T07:58:17.768Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Virtual Network,Accepted,Administrative,Informational,2020-05-08T07:58:17.840Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/virtualNetworks,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/virtualNetworks/MyVNET
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Public Ip Address,Accepted,Administrative,Informational,2020-05-08T07:58:17.984Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/publicIPAddresses,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/publicIPAddresses/myPublicIP
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Virtual Network,Succeeded,Administrative,Informational,2020-05-08T07:58:20.887Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/virtualNetworks,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/virtualNetworks/MyVNET
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Public Ip Address,Succeeded,Administrative,Informational,2020-05-08T07:58:21.822Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/publicIPAddresses,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/publicIPAddresses/myPublicIP
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Virtual Network,Succeeded,Administrative,Informational,2020-05-08T08:08:19.826Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/virtualNetworks,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/virtualNetworks/MyVNET
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Public Ip Address,Succeeded,Administrative,Informational,2020-05-08T08:08:20.481Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/publicIPAddresses,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/publicIPAddresses/myPublicIP
2f2d2888-8f5b-48ea-b1f1-5a0d8dd6c6af,Delete Virtual Network,Succeeded,Administrative,Informational,2020-05-08T08:08:24.092Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/virtualNetworks,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/demogrp1/providers/Microsoft.Network/virtualNetworks/MyVNET
38f16fc6-6a8a-45ce-acf1-b2d0ab1bd721,Delete Disk,Succeeded,Administrative,Informational,2020-05-08T08:08:22.406Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Compute/disks,DEMOGRP1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourcegroups/DEMOGRP1/providers/Microsoft.Compute/disks/SimpleWinVM_disk2_7a24c0fde664489e811c7127c6318c22
38f16fc6-6a8a-45ce-acf1-b2d0ab1bd721,Delete Network Security Group,Started,Administrative,Informational,2020-05-08T07:58:01.883Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkSecurityGroups,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/networkSecurityGroups/default-NSG
38f16fc6-6a8a-45ce-acf1-b2d0ab1bd721,Delete Disk,Started,Administrative,Informational,2020-05-08T07:58:01.918Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Compute/disks,DEMOGRP1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/DEMOGRP1/providers/Microsoft.Compute/disks/SimpleWinVM_OsDisk_1_5e872fde64b943b6b94a5b3962dd4fe4
38f16fc6-6a8a-45ce-acf1-b2d0ab1bd721,Delete Network Interface,Started,Administrative,Informational,2020-05-08T07:58:01.919Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/networkInterfaces,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/networkInterfaces/myVMNic
38f16fc6-6a8a-45ce-acf1-b2d0ab1bd721,Delete Public Ip Address,Started,Administrative,Informational,2020-05-08T07:58:01.923Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/publicIPAddresses,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/publicIPAddresses/myPublicIP
38f16fc6-6a8a-45ce-acf1-b2d0ab1bd721,Delete Virtual Network,Started,Administrative,Informational,2020-05-08T07:58:01.930Z,20c6eec9-2d80-4700-b0f6-4fde579a8783,techsup1000@gmail.com,Microsoft.Network/virtualNetworks,demogrp1,/subscriptions/20c6eec9-2d80-4700-b0f6-4fde579a8783/resourceGroups/demogrp1/providers/Microsoft.Network/virtualNetworks/MyVNET
